epochs,train_loss,train_cost,val_cost
0,-0.287163705,13.46326542,12.23858166
1,4.865200043,11.86541367,11.56622887
2,0.362706304,11.49208069,11.36959076
3,-0.414373487,11.36962032,11.24271584
4,-1.071962953,11.31031609,11.2041378
5,-0.924834669,11.26529694,11.19205284
6,-0.692389905,11.22995281,11.16490936
7,-0.748739541,11.21522427,11.14345741
8,-0.714250028,11.18925571,11.14828587
9,-0.574131072,11.17811298,11.11450672
10,-0.623609304,11.15641785,11.08792782
11,-0.665109217,11.13747311,11.08206463
12,-0.548653781,11.1269722,11.05249023
13,-0.745642483,11.11118889,11.04361534
14,-0.686640501,11.10160828,11.05421448
15,-0.604793072,11.0918684,11.03957176
16,-0.606347442,11.08276176,11.04013157
17,-0.552204728,11.07945061,11.02863312
18,-0.556449473,11.06797886,11.02484894
19,-0.5062958,11.05863285,11.0528574
20,-0.462340236,11.05249023,11.00891685
21,-0.50295192,11.04662228,11.01022625
22,-0.477821618,11.04532719,11.02166367
23,-0.427563906,11.03862381,10.98744106
24,-0.560387492,11.03574371,11.00692749
25,-0.503662586,11.02598572,10.98541832
26,-0.503364623,11.02289677,10.99884605
27,-0.468908191,11.01912498,10.98058605
28,-0.471489996,11.02061939,11.00349426
29,-0.419479311,11.01209545,10.97856045
30,-0.38741532,11.00614357,10.98284245
31,-0.391712517,11.00829887,10.97271442
32,-0.376565516,11.0006237,10.96227169
33,-0.443270653,10.99609852,10.93480587
34,-0.600867808,10.99317932,10.96377563
35,-0.5889467,10.99502182,10.97838116
36,-0.567429125,10.9904108,10.96134758
37,-0.541284144,10.98974991,10.94924259
38,-0.511846602,10.98356438,10.95301914
39,-0.48967436,10.98086071,10.94821167
40,-0.484635681,10.98091793,10.95541859
41,-0.471112013,10.97691631,10.94642544
42,-0.466124326,10.97980595,10.94386292
43,-0.458164215,10.97862053,10.97373295
44,-0.418607771,10.97172546,10.95589256
45,-0.449450105,10.97682381,10.94873238
46,-0.378165305,10.96613598,10.92827606
47,-0.413650304,10.96553802,10.91584206
48,-0.49595204,10.96557331,10.92925167
49,-0.483948141,10.96339417,10.93472862
50,-0.46061188,10.9619751,10.94132233
51,-0.459242761,10.95950699,10.9460535
52,-0.438768744,10.96086216,10.94339085
53,-0.429869473,10.9571619,10.91090679
54,-0.426081926,10.9569788,10.93706608
